model_name,threshold,pr_auc,f1,precision,recall,fpr
XGBoost Default (raw),0.5,0.566373022020713,0.4271162627327011,0.3112760783309868,0.6802797202797203,0.06330141401783404
XGBoost Optuna,0.5,0.5841082948442594,0.5058959537572254,0.4311330049261084,0.612027972027972,0.03396230854292638
XGBoost Optuna(Best threshold),0.8293766975402832,0.5841082948442594,0.5814113597246128,0.7557046979865771,0.47244755244755243,0.006423076018163424
LightGBM Default,0.5,0.5674706151287344,0.3878279770222015,0.26840012893521004,0.6987412587412587,0.08010022821918453
LightGBM Optuna,0.5,0.5790912367327505,0.4408524471735597,0.3255100680090679,0.6827972027972028,0.05950168223419523
LightGBM Optuna (best threshold),0.8323679396566854,0.5790912367327505,0.5649975534170608,0.6776212832550861,0.4844755244755245,0.009693433404700845
